,business_id,latitude,longitude,review_count,stars,is_open,pos_reviews
135,qW670GkK3WdOr3gQWpUegA,43.7507696674,-79.5464342695,8,3.5,0,8
136,geQG2a9uO6Q9hXVx937Kbw,43.6563929,-79.378509,62,3.5,1,52
138,q0hAKzn_LmyUiScCuWS4Hg,43.6692612,-79.3868327,123,3.0,1,89
139,2vuAlukfUZf3vbHsexEeDw,43.672212,-79.467928,26,1.0,1,1
140,IFXCLHrvjOOcu11Y46_mlQ,43.6615696,-79.3385016,8,4.0,0,7
141,5IRIBTFKc_vfiMnN667gbQ,43.675498504,-79.4547262134,8,5.0,1,8
142,kwXTdolA_0G2haHW4To5kA,43.8136867,-79.3440034,7,2.0,1,2
145,1RE-r3jSXwDoH252u2or1g,43.6687719039,-79.3902338231,10,3.5,1,8
147,PwJO7Z7RL4hkBSCHsRRE7Q,43.6813999,-79.4278949,41,4.0,1,37
149,Grr2wJ3nYD_7qUyespDglA,43.6482939644,-79.3906370695,203,4.5,0,194
150,LuBj6jfwKsbpKy441wkRlQ,43.6487356,-79.3952314,62,2.5,0,41
151,d4bVdEDwxmyB0M-w5vNNPg,43.7042023,-79.3882807,22,3.0,0,17
152,IfUkm42SB9D0m_ZbkQ711A,43.6549209,-79.4163139,141,4.0,1,137
153,2PCz_uVX7GOXtGHNXAPXhw,43.80492921,-79.288043417,70,3.0,1,55
155,AXz8grZtjXFfBYlF1kn5nA,43.7762105306,-79.2573462361,10,4.5,0,9
157,U3A716YhAWFkyURKcfUo7A,43.6540622,-79.4014786,119,4.0,0,106
158,VRE0F_MunQ6jlQxQ6fJ7Cw,43.6751354,-79.4066523,11,4.5,1,11
160,U7JrKn4fYW2RpJa7Nl-X_g,43.6617125,-79.3811043,6,4.5,1,6
161,v0cl_1amwGypwFIS9-w8zw,43.6393257553,-79.3805263371,24,3.0,1,17
162,_o2fJBcVgLpy-L970Y7qYQ,43.6558353,-79.3881303,13,2.5,1,10
163,N-U0o7hIKy3Z6KY_O4RuPg,43.6698988,-79.4315486,32,3.0,0,19
166,ERnG-1q3igX3VSgm5uLZ6A,43.678,-79.443872,83,4.0,1,71
171,CZ8WjbGmjbm_t_qb_kRs0Q,43.752733,-79.264041,9,2.0,1,5
177,SVv0PeX-s_XMH1LxUrUL4w,43.6468356,-79.3825552,3,1.5,1,2
178,DGPo_cIF9fHkfgYQkxhiMQ,43.6451535,-79.5223102,4,2.0,1,3
179,BGoh78jgne5RLAz0YY54Ng,43.6779459,-79.3509916,18,3.0,0,11
182,CSaB0_tKunqfcOqbw5FdAw,43.647923,-79.381353,9,4.0,1,9
183,N8jmyJCk-LjO9o1K9UjxNA,43.6464195,-79.4070969,225,3.0,1,179
185,UPmrHkx4YmNo_QRniekP8g,43.708653,-79.3982462,54,3.5,1,45
189,QgdO29fGB-eBNe1BzHR7YQ,43.6454133,-79.3872946,70,4.0,1,63
190,ZBFfY_WLbp19sADTZ_LRMg,43.6577905,-79.4878006,29,4.0,0,26
192,afsVkTaqv8regqR6IJOCVw,43.6487990801,-79.3715371067,9,3.5,1,9
193,QF45jdbNORMZloICjz0jdg,43.6477126826,-79.4014421996,7,4.0,1,6
194,gM2aVDfyS2IIn6b_V_vbqg,43.6608802,-79.4299501,4,2.0,1,1
196,2cUWtkuu5ylH1dOvYguk1Q,43.6797985,-79.3412269,6,4.5,0,6
198,rElVzlHf_zxWeOCj8Vj_iw,43.6643838,-79.3841464,30,2.0,0,18
199,tJqPUAk3xU6IkFgagpD92A,43.6489232,-79.3717226,5,5.0,1,5
201,1pU0GJXTDPTJ2HfcuZt7dA,43.6878784,-79.3484053,9,3.5,1,8
204,u6JJojkbqVlVI4NqKsL54Q,43.6555223,-79.4141588,59,4.0,0,58
205,3stT022u8m1H37mcopGuUA,43.6612901,-79.3389433,4,1.5,0,0
207,VQAmVxvPROLhSoeDc8C5gQ,43.756264,-79.518164,15,2.5,1,10
210,Rl_l6TWkBzr6Op7egdZ-YA,43.7690639665,-79.2817211151,44,4.0,1,39
214,crfd5AVZ39VugewuH5A7Vw,43.654055,-79.3988852,11,3.0,0,8
215,zSZgK7UtuQQLCSEYTeADUg,43.6517208,-79.3978459,4,2.0,0,3
216,yf1awJ2cVp0AmqYMOc671w,43.6499941,-79.3638323,15,4.5,1,15
217,nER4r71-nLBpy4ZkrsAOYg,43.6692689,-79.3950356,5,5.0,0,5
218,lBwx8insD-RNa-_lOtA3kA,43.658087,-79.3710422,6,2.0,1,2
220,iWL7uxIpLvkFm3Jv8Humuw,43.6705509298,-79.4346669153,32,4.5,1,29
222,Ehq7wmTyxVdTJkv_MoRqmg,43.7677879333,-79.4717178345,12,4.0,1,10
223,3n3dKPx7TVR7nKIGpA0wLw,43.7563943257,-79.5188201471,30,3.5,1,26
226,7ZBh-3wWVQ5zkd6KZytW0g,43.6704745,-79.3936313,148,3.0,1,109
227,chwG4PHe_wwyLIGIaGEH1A,43.6517657,-79.4049646,3,4.5,1,3
230,4WSDd4jlfLeuNnZ__o4LHQ,43.8155128235,-79.3229706756,12,4.0,0,11
231,zmJp4ocFlteqlLVvTYieDQ,43.6493815,-79.4277957,39,4.5,1,39
232,9jJxXCuwku2l8arVGrBNTA,43.7767555,-79.2590081,3,2.0,1,2
233,mvfaUvuZMYurZcbbyn7m4w,43.6611553,-79.3399914,11,3.5,0,10
234,1k1Jep8-CT3LI1bG2JG6Eg,43.6493363504,-79.390976914,6,2.0,1,2
236,pbnZqw5tHkZZBG5Ryys0yw,43.6409651209,-79.4351384416,6,3.0,0,5
237,x2LI9KpVZ40CHILZ3473Ng,43.6451799,-79.3971353,14,4.0,0,13
238,-WKQHbVgTNQVzCbVPDeMlg,43.6969562,-79.3293695,97,4.5,1,96
239,MIkZkL5xJGBd-4nkMyVTnQ,43.7005748,-79.4282011,7,4.5,0,6
240,ZD_IM7HTi1d16sLbn_-pvA,43.8035861,-79.2565677,9,3.5,1,7
242,X4hxjDQ8_1VEyRvF0ysLkw,43.794254017,-79.32973631,4,4.0,1,4
244,DaTQLers4x_DbGPi7r_xVw,43.656674992,-79.4071152266,17,3.5,1,14
245,N-cHjphzli3QGGiSosfLgg,43.7619966,-79.4086976,12,3.0,0,6
246,8d73IxrPAruVFHn4_TSBdA,43.7503786,-79.2771793,6,3.0,1,4
248,OURoudNtFXyd7RTtl5ASKg,43.6566765,-79.4027438,107,4.0,1,97
249,BnkPGoz3wzqqq8tYU1ghSA,43.6919708,-79.440538,10,4.5,1,10
253,vZu3xxlMQSqFngDgdFLfXg,43.6464036,-79.3786608,16,3.5,0,13
255,jCpB1D_Hsc_dlF0ErNO-7w,43.6642003,-79.4163563,47,3.5,1,46
257,Gv8u5bX_Kd7HG7jkeF_vWA,43.6822547,-79.3280136,5,3.0,0,4
258,Ch-gb1W9g1zZyuPXpSBq0g,43.641556,-79.44705,9,4.0,1,8
262,NmX56-YUbVvmNW0LPCYaYQ,43.722994,-79.4980982,9,3.5,1,8
266,X6Cgn59q3i3vK-lqzVY6gQ,43.7454374813,-79.4065709131,3,3.0,1,2
272,mw69E3vLAbN-ra92f5Y8ZQ,43.6527051,-79.4323481,53,4.5,1,51
274,vAUEebTSlyYVTO7SgyT4cg,43.6602391,-79.4352958,3,3.5,0,3
276,ZHSMToFUzdVijeJvrWLNJw,43.6695092,-79.413069,7,3.5,0,7
279,4cIUCLqLuV2Y1ZlKfjjTPA,43.6775536,-79.4070502,38,4.0,1,35
280,wuZcVcG2EJHQIEKEbLFRwQ,43.6530612,-79.4279396,13,2.0,0,7
281,aRqxT28Tdz2aDiZ7Vkyejw,43.6641761664,-79.4149611996,251,4.0,1,238
283,OmZ_Ub_0egPc6eDPD1OWSw,43.6789721,-79.3434527,84,4.0,1,75
285,g0yeRwvJmdd-XrH9lye0ww,43.6554688,-79.3764957,39,4.5,1,37
288,aLSMyYyPEuKaDrrTrwYOEg,43.7541953406,-79.468643087,27,4.0,0,24
289,9LE2yGl23qxitNc9mkpbjA,43.6578089,-79.4017213,114,4.0,1,92
290,nbhBRhZtdaZmMMeb2i02pg,43.7821307238,-79.4904436859,15,4.5,1,14
291,vcxzcp7D9IiyvyLlwpgvVg,43.6602286,-79.4798078,24,4.5,1,23
292,yyT2aODioewkwIP-dQZ_wA,43.7287387,-79.4029239,9,2.0,1,7
293,sc-FCrRK6iM28N_N5AKuPw,43.6545202,-79.369416,3,3.5,0,3
294,iBt37-7t5GP2ZRT81yHgew,43.6506625,-79.4776332,27,3.5,1,24
295,c_FTil8s5PS2l_YJDQAXhA,43.6548045,-79.4149935,54,4.0,0,49
296,F4w3qLxGbZMdkHut_oGH_Q,43.7827827644,-79.1695746034,4,3.5,1,3
299,0ED9PlLogo_HYWuoSRaTpw,43.65687,-79.39924,71,3.5,0,66
300,wKmDYX_XuYCbIerCbYfWnQ,43.7548660252,-79.349670226,87,3.0,1,64
301,j_BZ2A5XEQSd-k7yH-S_Pw,43.6657238,-79.4648144,17,4.0,1,15
302,8aPTNdySQ2ipjWtCJG0vnw,43.6553017,-79.4140145,4,3.0,0,4
306,p4hzwmiBvq3Clj65JyPGSQ,43.6520222,-79.4479479,24,2.0,0,10
307,7T1XVTSocHcOu2H5v2Iqog,43.6583613,-79.3999324,13,2.0,0,6
308,td1uEmND7zG8X9aNQyKCbg,43.6499286,-79.3832479,64,4.0,1,60
311,ZdNzBuETLeoiNFOCqtQTwQ,43.784078,-79.288232,6,4.0,1,6
312,-2uYjztVuVZpkTNAC38zdg,43.7990718211,-79.3190192431,13,3.5,1,10
313,Eox_Qq74oaFZ-YjthpHhBw,43.6400293,-79.4399448,58,3.5,0,50
314,lXuGai9GMagZ4T-lnZ1Z1g,43.6505774,-79.3889518,14,4.5,1,14
315,1dAKYE4NOY9XqnDqgRRgIw,43.6544261,-79.4232131,31,3.5,1,21
317,RZv0iTHrFbw87sZg_45WHQ,43.646269,-79.383325,33,4.0,1,31
318,P0-oxpGOTqRYbXNUye0IFw,43.7007399,-79.3969147,15,5.0,1,15
319,Eo4s6CmPpEcXCkfg9Zk_EA,43.6778423,-79.3902487,9,2.0,1,1
320,o730cceIPsCPmYAps0okww,43.766258523,-79.4674959406,5,2.0,1,1
322,s-aGceIVH-XrIWdC4Jkbeg,43.6638814,-79.3305676,23,4.0,0,20
323,Yt5gK4E9NqVa14WNiQdBlQ,43.7836563478,-79.287934117,34,3.0,1,24
325,ui3NMjdiIrILl9JFGcLfbg,43.7642856512,-79.4115551189,181,4.0,1,177
328,-aIDAzPJTUexM3Skp78wlQ,43.7492612,-79.3120184,4,5.0,1,4
329,ZpPOiNYi4AHNneI7uco7GQ,43.7047367,-79.3751209,40,3.5,1,34
335,_DK6eNVcxA9IYzOLY842Kg,43.640015,-79.419981,7,3.5,1,7
336,gJo8--JL8OTV-liadNHjsw,43.691838,-79.4665008,19,2.5,1,9
340,G-LwYGh6NdXKjqCKKSxQfw,43.6492824906,-79.426371857,48,4.0,0,46
341,02BXFKzu1rgaYulNGYvi6g,43.831795518,-79.2663108185,291,3.0,1,184
342,sJSRXg48n9MnkGaPjmPmZw,43.649395,-79.3745389581,9,4.0,1,8
343,2d9RbgRtHJyTRzY99GBNOQ,43.6551786266,-79.3857817644,46,3.5,0,40
344,4POPYEONJpkfhWOMx_PyGg,43.642079,-79.3784532,237,3.5,1,202
349,i0RdwbjF86Grl3T37z74IA,43.6858371,-79.3932282,47,3.5,0,43
351,oIbxs2YL399SGXdcScyVPg,43.6910315,-79.5012674,3,2.5,1,2
352,rmWOi5EVbPuIHtSXsAXd0Q,43.6638126,-79.3709967658,3,5.0,1,3
355,sENKAK309JW663SokXQ5RQ,43.6582976906,-79.4422688709,65,3.5,0,54
360,rwSTI3PzUQObweyPOGjNCw,43.6503522,-79.3837951,13,4.0,0,12
361,GlKEm1HSox2sQeOjcvXrYw,43.6664163,-79.4514967,17,3.0,1,14
363,7xA6iSP0Ndn08tpBFQtUKA,43.6463771,-79.3898677,205,3.5,1,164
365,1loClYTKmAlUxXERUZotRQ,43.6722484,-79.3212267,8,3.5,0,5
366,a8uuOGWdjVWRCIXoQGVkIA,43.7919977,-79.2504891,11,4.0,1,11
369,ccTA3iIHza7I4fUgVvbIeA,43.7838598,-79.2051993,5,2.5,1,4
373,fBgUT-V7F66kNOkv56fCnA,43.6588003,-79.3940426,9,2.5,0,6
374,R-3ZztyvIs1r-rDLLGzZZA,43.78722,-79.2778168,9,3.5,1,7
375,sYUsL6Og4axZduPrJpdi0g,43.6663944,-79.3853983,49,3.0,1,42
379,ft5LUuDwmS8ONnI7AooLjQ,43.6552008,-79.4135,25,4.0,0,22
382,wVc3g-YfyDvkOLDecpr4DA,43.7022152689,-79.397614373,118,4.0,1,105
383,9XLH_grfIYKR7d5ZT9ZX_A,43.6849185,-79.3172223,59,4.0,0,53
386,ZkeSTc4YnNrFVe341b7jZw,43.6779178541,-79.3500748842,6,3.0,0,5
387,xhCiQt_-pMp1nKDXZ7n7BQ,43.6416596532,-79.447130563,44,3.5,1,36
388,3vs6rARRBm-O99y4bryilw,43.6709600776,-79.3838414455,47,3.5,1,38
389,MejjNlwIlKkLv6Pya5OOWQ,43.6469333,-79.4064085,5,2.5,1,2
390,Uq4S_qtPsC4c46FP5G3e1Q,43.6539212,-79.4006408,7,3.5,1,6
392,111d13yLgIdqvpZekgVnbQ,43.7021058,-79.3874711,5,3.0,0,5
393,DYYd9Bf6Seqkag0Qxg0g7Q,43.6641018,-79.4166827,3,4.5,1,3
398,kPNmILQDOCoBHxuRMmrocw,43.6802425,-79.4339584,7,2.0,1,4
399,Gc8xWVpbUlBYHAoOT9MTyQ,43.6462083,-79.419674,210,4.0,1,200
400,BQExW8hmH90ou7ol-91RMw,43.6709708,-79.2957336,44,3.5,1,37
401,Zl6csaZ5HBka3SKBphHXrQ,43.6558282,-79.3922846,103,3.5,1,87
403,4m_hApwQ054v3ue_OxFmGw,43.6454236,-79.3962213,478,4.0,1,447
404,7LURynIRYeS7jcfadeRASg,43.6475596,-79.3961288,131,3.0,0,97
405,bgJb8dRVx7tx1GGPtfLYaQ,43.6509586,-79.4782852,7,3.0,1,4
407,3aTV63AWpUObtZhrFAp5nA,43.6460848,-79.4090059,18,4.5,1,18
409,i_0rSAui4zaz4ydVaOZ6bQ,43.649321,-79.378413,7,3.5,1,6
411,rBbyzu-D2bKyLNOLSRmFAw,43.6670117,-79.3812744,17,3.0,0,15
413,1HRSElW1HgBiTtSNrhjMeA,43.7066913,-79.3758028,4,2.0,0,2
414,r6zfqu8kzZteqVEu3zIYCg,43.7168341,-79.4001043,53,3.0,1,40
415,jq8BDvTygfKYMvEd7BvSeQ,43.7223069,-79.2917984,3,1.5,1,2
416,vDayWkgdRfQfXsVIe5O15A,43.7072763,-79.3995622,3,2.5,1,2
418,CNrbvdH2DsnWOu9vHxiKAQ,43.7123304,-79.3644368,12,2.5,0,10
421,m-HMvJPKy5e7XXk8-jr9BA,43.6483999425,-79.3736010667,19,3.0,1,15
422,0zO_bPBlp-GOYipTBml31A,43.6541419,-79.4068604,6,4.5,1,4
423,ZK0Q-hn46I8JrRTleg_dYQ,43.7087727,-79.3987906,15,3.0,0,13
426,VcZQXpk6vYAXwemOrC9PTw,43.776815,-79.282992,25,3.0,0,22
427,dY3skxKG4xfM2eNj4xjHnQ,43.6724631,-79.2878199,7,5.0,1,7
428,61Do3_JKSyzUr3T3nZRROQ,43.6971001,-79.3294333,37,2.5,0,24
431,a93TpkEV5oyEuyiI0CqAGw,43.6826974,-79.4208801,40,3.5,1,32
434,xKCljNsyUKKSbWAUqRxoTQ,43.6496328,-79.3921465,16,4.0,0,14
436,PNzGMlH0SnvIMxIESVNLgw,43.64842,-79.3819,3,4.0,1,2
438,cj_9eTPR0JBqk9qt2VmzFw,43.6642946,-79.4155574,219,4.5,1,212
443,vnKHXrw585IOH4F3m29yFQ,43.6461262,-79.4081699,108,3.5,1,83
444,zX6t_p23Aq_5a2--FibPpQ,43.649542,-79.37959,14,4.0,1,14
448,upZ9FEpOh1Pr_GY-rUh0vw,43.6494377,-79.3920668,17,3.5,1,12
449,uIIq8zs_37yOspXy0nBcew,43.6503522,-79.3837951,21,3.0,1,20
450,OQ9rVtBEFFI4jkdEo9AoRg,43.6517304,-79.4512596,28,3.0,1,22
453,nIIuxIn5RU0j-XkDWh3hlA,43.6647958,-79.3848099,48,3.0,1,45
457,tWdp26XQEJqJGnRmFVJQxA,43.6522238966,-79.3663072586,216,4.0,1,196
459,5CSCTpBZYl_uDN7ZjSp5yQ,43.723535,-79.299233,5,2.5,1,4
460,NbO1ovGDddNg2MrJfBLpQw,43.6715888,-79.2933566,3,2.0,1,1
463,jVJcR4y8q7FuwlK0cYVuyw,43.6128989614,-79.5557354906,15,3.0,1,12
464,uklv_8iGhXk-Z_WukBdV_g,43.7669808,-79.4120261,4,4.0,1,4
465,BHi4nZxX5oYYu175aSY4sw,43.6601367,-79.3858692,22,3.0,0,18
467,JZB9Zjex7mlJNu7lyJ08Qw,43.650107533,-79.4377351552,7,1.5,1,2
470,aFUfpt-zcDH6qbTS3nVLog,43.7503786,-79.2771793,3,3.5,1,2
472,POuD26KrQ_ssxKuSFfXY0A,43.729443,-79.607311,6,2.5,1,3
474,coRAnWyBF9JliXFo3INm9A,43.6635294,-79.3841667,8,4.5,1,8
475,XAVWsz6nesiqEa0sa0gL6A,43.670282,-79.3922977,3,4.0,1,3
476,bFiqLXT4M8kYbrTBUzoH-A,43.7742081,-79.4983331,9,4.0,1,8
477,Bh5VbI_9msk3GaD0kiKkmg,43.760058175,-79.412188931,63,3.5,1,56
478,_Wyo52ijeq3QgcmkIrhmAQ,43.7065802,-79.3758028,35,3.0,1,27
479,l_hx2Yb9SIr1TzHHJpJ_xw,43.6398818,-79.3820882,3,3.0,0,3
481,xhKsKC1ngojo8-J43UZmDA,43.6397814,-79.4206753,50,3.5,1,40
482,YS-ZxhCP__jtBSm05uXPaQ,43.6491647,-79.3916265,11,2.5,1,8
484,5QtwCMMn4kv1nVnO47mpsg,43.6738524,-79.4601047,9,3.5,1,8
486,eohcbvMCGegrUCDnj736hg,43.6788337,-79.4736574,4,5.0,1,4
488,fUOY7g6JcO0m3iZNfK0O0g,43.6397312,-79.4212973,52,3.5,1,46
490,rMx2hTKVLrabu_iaI8L5vA,43.6589628,-79.4398479,58,4.0,1,54
493,6DWFVwgm3d9jfBUOkJuANQ,43.6467407,-79.4063241,19,4.0,0,17
494,pMaOpte9NXZXSS8wolXxGw,43.6853887,-79.3129744,3,3.5,1,2
497,bD3r0YLPNoEYsDaPCQwkVA,43.7957259,-79.2317402,5,2.0,1,1
498,-JKp9ykFyhswkIQ6XhhJOQ,43.6528628,-79.401328,4,3.0,0,3
499,lCjPw8i-bCAd8_W3yzQa8Q,43.6667329516,-79.468523562,44,4.5,1,40
501,gqGnHza3_7Y53NzXEzDpzg,43.646919747,-79.3951460347,6,2.0,0,2
503,m_5-Klux3KcRQVo1EOtcig,43.674457,-79.3968168,31,4.0,1,27
505,nRZjrWIzqKc26KjpBG0fHg,43.7793413,-79.4158517,174,3.5,1,156
506,lEaL5O5n9Sni6RiwXv42Ww,43.6782533847,-79.3488195911,26,4.0,1,24
509,-vV6ERMhriTFblbvQI2THQ,43.7863191373,-79.4728201255,7,3.5,1,5
510,_Gl7RqOkCUQr8kjN8yGf6w,43.6480711541,-79.3934180215,40,4.0,1,32
512,xR4q0kAA3SEjzL8N5-ePSQ,43.6514044,-79.397131,64,4.0,1,63
513,kD05qsPROIFoEhgQIp_Vig,43.6449713,-79.5327411,20,4.0,1,18
514,T6rlwLK-FO0q8jnEkaM1Qg,43.6771449,-79.3529361,4,1.0,1,1
515,6bttTDLU4j4GeG7QnvU84Q,43.6571153,-79.4477704,18,4.0,0,16
521,3G4KcScA5srgsg-fAtWs2Q,43.6651953,-79.3849242,95,3.5,1,86
524,JhJRK4X8A7q2-m8_ubcmuQ,43.6447358,-79.3923614,5,4.0,1,5
526,Vx3zDwV6_jB3abXkXK4jiQ,43.7695789367,-79.4127667464,22,3.0,1,15
527,JDNmbb8tBIjp7UCgZppMvg,43.6654128,-79.4716724,3,4.5,0,3
528,fGhdqf7rkSuW7UxJeyZiTw,43.7348734,-79.4195506,7,3.5,1,5
529,l9QSMhlEF1tnaxb2EW9iFQ,43.6773785,-79.4445649,22,4.0,1,21
535,b0kFTOITzkcbOUnFH4lRxw,43.6590268,-79.3682246,32,4.0,0,31
536,_idu2VZT3e2xy1tGx9P4fA,43.6485025,-79.3850164,3,1.0,0,0
537,_U9_mzobQzDQygH50NoxUw,43.6609193,-79.4008285,5,3.0,0,4
538,tAFLrXgvxSpqxOT8C7sxfQ,43.6619843,-79.4265164,17,4.5,1,16
539,lQ8GWMudJwXHJYxCXza5Ag,43.6503857,-79.3899928,6,3.0,0,5
542,dsAcgF6qtZy2m6d_yWCrGQ,43.6567857,-79.3867086,71,3.0,1,55
